eco	name	fen	moves	whiteWins	blackWins	draws
A02	Bird Opening: Swiss Gambit	rnbqkb1r/ppppp1pp/5n2/8/4pPP1/2N5/PPPP3P/R1BQKBNR b KQkq -	f2f4 f7f5 e2e4 f5e4 b1c3 g8f6 g2g4	11	10	4
A02	Bird Opening: Wagner-Zwitersch Gambit	rnbqkbnr/ppppp1pp/8/5p2/4PP2/8/PPPP2PP/RNBQKBNR b KQkq -	f2f4 f7f5 e2e4	40	28	20
A02	System: Double Duck Formation	rnbqkbnr/ppp1p1pp/8/3p1p2/3P1P2/8/PPP1P1PP/RNBQKBNR w KQkq -	f2f4 f7f5 d2d4 d7d5	1	0	1
A03	Bird Opening: Dutch Variation, Dudweiler Gambit	rnbqkbnr/ppp1pppp/8/3p4/5PP1/8/PPPPP2P/RNBQKBNR b KQkq -	f2f4 d7d5 g2g4	0	0	0
A03	Bird Opening: Dutch Variation	rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 d7d5	3602	4086	2670
A03	Bird Opening: Lasker Variation	rnbqkb1r/pp2pppp/5n2/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq -	f2f4 d7d5 g1f3 g8f6 e2e3 c7c5	84	83	65
A03	Bird Opening: Sturm Gambit	rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq -	f2f4 d7d5 c2c4	39	35	24
A03	Bird Opening: Thomas Gambit	rnbqkb1r/pp2pppp/5n2/2p5/3p1P2/1P2PN2/PBPP2PP/RN1QKB1R b KQkq -	f2f4 d7d5 b2b3 g8f6 c1b2 d5d4 g1f3 c7c5 e2e3	2	0	1
A03	Bird Opening: Williams Gambit	rnbqkb1r/ppp1pppp/5n2/8/4pP2/2N5/PPPPQ1PP/R1B1KBNR b KQkq -	f2f4 d7d5 e2e4 d5e4 b1c3 g8f6 d1e2	8	4	4
A03	Bird Opening: Williams Gambit	rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq -	f2f4 d7d5 e2e4	13	9	7
A03	Bird Opening: Williams-Zilbermints Gambit	rnbqkb1r/ppp1pppp/5n2/8/4pP2/2N5/PPPPN1PP/R1BQKB1R b KQkq -	f2f4 d7d5 e2e4 d5e4 b1c3 g8f6 g1e2	0	0	0
A04	Colle System: Rhamphorhynchus Variation	rnb1k1nr/pp1pppbp/6p1/q1P5/8/4PN2/PPP2PPP/RNBQKB1R w KQkq -	g1f3 c7c5 e2e3 g7g6 d2d4 f8g7 d4c5 d8a5	8	5	7
A04	Modern Defense: Semi-Averbakh Variation, Polish Variation	rnb1k1nr/pp1pppbp/1q4p1/2p5/2PPP3/5N2/PP3PPP/RNBQKB1R w KQkq -	g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8b6	17	13	19
A04	Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Accepted	rnb1k1nr/pp2ppbp/3p2p1/q1P5/2P1P3/5N2/PP3PPP/RNBQKB1R w KQkq -	g1f3 g7g6 d2d4 f8g7 e2e4 d7d6 c2c4 c7c5 d4c5 d8a5	0	0	0
A04	Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation	rnb1k1nr/pp1pppbp/6p1/q1p5/2PPP3/5N2/PP3PPP/RNBQKB1R w KQkq -	g1f3 c7c5 c2c4 g7g6 d2d4 f8g7 e2e4 d8a5	26	30	35
A04	Reti Opening	rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -	g1f3	133205	90933	122869
A04	Zukertort Defense: Drunken Cavalry Variation	r1bqkb1r/pppppppp/n6n/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	g1f3 b8a6 e2e4 g8h6	0	0	0
A04	Zukertort Opening: Arctic Defense, Drunken Knight Variation	rnbqkb1r/pppppnpp/5p2/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -	g1f3 f7f6 e2e4 g8h6 d2d4 h6f7	0	0	0
A04	Zukertort Opening: Arctic Defense	rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 f7f6	2	3	0
A04	Zukertort Opening: Basman Defense	rnbqkbnr/ppppppp1/7p/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 h7h6	18	24	8
A04	Zukertort Opening: Black Mustang Defense	r1bqkbnr/pppppppp/2n5/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 b8c6	1705	880	888
A04	Zukertort Opening: Dutch Variation	rnbqkbnr/ppppp1pp/8/5p2/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 f7f5	4373	2746	2979
A04	Zukertort Opening: Herrstrom Gambit	rnbqkbnr/pppppp1p/8/6p1/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 g7g5	16	7	3
A04	Zukertort Opening: Kingside Fianchetto	rnbqkbnr/pppppp1p/6p1/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 g7g6	6373	5690	5967
A04	Zukertort Opening: Lisitsyn Gambit Deferred	rnbqkb1r/ppppp1pp/5n2/5p2/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq -	g1f3 f7f5 d2d3 g8f6 e2e4	196	62	72
A04	Zukertort Opening: Lisitsyn Gambit	rnbqkbnr/ppppp1pp/8/5p2/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -	g1f3 f7f5 e2e4	267	234	163
A04	Zukertort Opening: Pirc Invitation	rnbqkbnr/ppp1pppp/3p4/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 d7d6	3583	2822	2878
A04	Zukertort Opening: Polish Defense	rnbqkbnr/p1pppppp/8/1p6/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 b7b5	253	206	192
A04	Zukertort Opening: Queen's Gambit Invitation	rnbqkbnr/pppp1ppp/4p3/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 e7e6	3021	1597	1938
A04	Zukertort Opening: Queenside Fianchetto Variation	rnbqkbnr/p1pppppp/1p6/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 b7b6	679	489	525
