eco	name	fen	moves	whiteWins	blackWins	draws
D00	Blackmar-Diemer Gambit: Vienna Variation	rn1qkb1r/ppp1pppp/5n2/5b2/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 c8f5	51	29	14
D00	Blackmar-Diemer Gambit: von Popiel Gambit	rnbqkb1r/ppp1pppp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5	111	72	38
D00	Blackmar-Diemer Gambit: von Popiel Gambit, Zilbermints Variation	rn1qk2r/ppp2ppp/5pb1/1Q6/1b1Pp1P1/2N5/PPP2P1P/R3KBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5 c8f5 g5f6 e7f6 g2g4 f5g6 d1e2 f8b4 e2b5	1	0	0
D00	Blackmar-Diemer Gambit: Zeller Defense	rn1qkbnr/ppp1pppp/8/5b2/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 c8f5	84	25	9
D00	Blackmar-Diemer Gambit: Zeller Defense, Soller Attack	rn1qkb1r/ppp1pppp/5n2/5b2/2BPp3/2N2P2/PPP3PP/R1BQK1NR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 c8f5 f2f3 g8f6 f1c4	2	0	0
D00	Blackmar-Diemer Gambit: Ziegler Defense	rnbqkb1r/pp2pppp/2p2n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c7c6	91	46	23
D00	Blackmar-Diemer, Lemberger Countergambit	rnbqkb1r/ppp2ppp/5n2/3pp3/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -	d2d4 d7d5 b1c3 g8f6 e2e4 e7e5	0	0	0
D00	Queen's Pawn Game: Chigorin Variation	rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq -	d2d4 d7d5 b1c3	1838	1569	1154
D00	Queen's Pawn Game: Hübsch Gambit	rnbqkb1r/ppp1pppp/8/3p4/3Pn3/2N5/PPP2PPP/R1BQKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 f6e4	130	110	57
D00	Queen's Pawn Game: Levitsky Attack	rnbqkbnr/ppp1pppp/8/3p2B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq -	d2d4 d7d5 c1g5	2096	1430	1572
D00	Queen's Pawn Game: Levitsky Attack, Welling Variation	rn1qkbnr/ppp1pppp/8/3p2B1/3P2b1/8/PPP1PPPP/RN1QKBNR w KQkq -	d2d4 d7d5 c1g5 c8g4	6	2	1
D00	Queen's Pawn Game: Mason Attack	rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq -	d2d4 d7d5 c1f4	4202	3035	2938
D00	Queen's Pawn Game: Morris Countergambit	rnbqkbnr/pp2pppp/8/2pp4/3PPB2/8/PPP2PPP/RN1QKBNR b KQkq -	d2d4 d7d5 c1f4 c7c5 e2e4	20	32	20
D00	Queen's Pawn Game	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -	d2d4 d7d5 e2e3 g8f6	677	862	463
D00	Queen's Pawn Game	rnbqkbnr/ppp1pppp/8/3p4/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq -	d2d4 d7d5 e2e3	1144	1289	705
D00	Queen's Pawn Game	rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 d7d5	145672	89837	121425
D00	Queen's Pawn Game: Steinitz Countergambit	rnbqkbnr/pp2pppp/8/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -	d2d4 d7d5 c1f4 c7c5	473	533	442
D00	Queen's Pawn Game: Stonewall Attack	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq -	d2d4 d7d5 e2e3 g8f6 f1d3	492	514	285
D00	Queen's Pawn Game: Veresov Attack, Alburt Defense	rn1qkbnr/ppp1pppp/8/3p1b2/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 b1c3 c8f5	167	181	123
